,Bai,Han,Hui,Man,Miao,Mongol,Qiang,Tujia,Yi,Zang
Bai,0.0,0.5454545454545454,0.8181818181818182,0.6363636363636364,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.9090909090909091,0.36363636363636365,0.8181818181818182
Han,0.5454545454545454,0.0,0.8181818181818182,0.5454545454545454,0.45454545454545453,0.7272727272727273,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.2727272727272727
Hui,0.8181818181818182,0.8181818181818182,0.0,0.7272727272727273,1.0,0.7272727272727273,1.0,0.2727272727272727,0.6363636363636364,1.0
Man,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.0,0.7272727272727273,0.36363636363636365,0.8181818181818182,0.45454545454545453,0.5454545454545454,0.09090909090909091
Miao,0.45454545454545453,0.45454545454545453,1.0,0.7272727272727273,0.0,0.9090909090909091,0.36363636363636365,0.7272727272727273,0.6363636363636364,0.8181818181818182
Mongol,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.36363636363636365,0.9090909090909091,0.0,0.7272727272727273,0.36363636363636365,0.7272727272727273,1.0
Qiang,0.6363636363636364,0.45454545454545453,1.0,0.8181818181818182,0.36363636363636365,0.7272727272727273,0.0,0.36363636363636365,0.6363636363636364,0.5454545454545454
Tujia,0.9090909090909091,0.36363636363636365,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.36363636363636365,0.36363636363636365,0.0,0.7272727272727273,0.7272727272727273
Yi,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.0,0.9090909090909091
Zang,0.8181818181818182,0.2727272727272727,1.0,0.09090909090909091,0.8181818181818182,1.0,0.5454545454545454,0.7272727272727273,0.9090909090909091,0.0
