"population","hap","count","freq","class"
"AEES","C",38,0.227544910179641,"Common"
"AEES","D",3,0.0179640718562874,"Rare"
"AEES","E",1,0.00598802395209581,"Singleton"
"AEES","F",1,0.00598802395209581,"Singleton"
"AEES","J",10,0.0598802395209581,"Common"
"AEES","N",31,0.18562874251497,"Common"
"AEES","O",9,0.0538922155688623,"Common"
"AEES","Q",32,0.191616766467066,"Common"
"AEES","R",42,0.251497005988024,"Common"
"AESP","C",5,0.0175438596491228,"Rare"
"AESP","D",1,0.00350877192982456,"Singleton"
"AESP","E",5,0.0175438596491228,"Rare"
"AESP","G",4,0.0140350877192982,"Rare"
"AESP","H",2,0.00701754385964912,"Doubleton"
"AESP","I",4,0.0140350877192982,"Rare"
"AESP","J",20,0.0701754385964912,"Common"
"AESP","K",4,0.0140350877192982,"Rare"
"AESP","L",2,0.00701754385964912,"Doubleton"
"AESP","N",66,0.231578947368421,"Common"
"AESP","O",1,0.00350877192982456,"Singleton"
"AESP","Q",17,0.0596491228070175,"Common"
"AESP","R",153,0.536842105263158,"Common"
"AESP","T",1,0.00350877192982456,"Singleton"
"ANEA","C",43,0.107769423558897,"Common"
"ANEA","D",40,0.100250626566416,"Common"
"ANEA","F",6,0.0150375939849624,"Rare"
"ANEA","G",1,0.0025062656641604,"Singleton"
"ANEA","J",2,0.0050125313283208,"Doubleton"
"ANEA","K",7,0.0175438596491228,"Rare"
"ANEA","N",92,0.230576441102757,"Common"
"ANEA","O",195,0.488721804511278,"Common"
"ANEA","Q",10,0.025062656641604,"Rare"
"ANEA","R",3,0.0075187969924812,"Very rare"
"ANWC","C",5,0.0364963503649635,"Rare"
"ANWC","D",3,0.0218978102189781,"Rare"
"ANWC","E",1,0.0072992700729927,"Singleton"
"ANWC","G",1,0.0072992700729927,"Singleton"
"ANWC","I",1,0.0072992700729927,"Singleton"
"ANWC","J",7,0.0510948905109489,"Common"
"ANWC","L",2,0.0145985401459854,"Doubleton"
"ANWC","N",12,0.0875912408759124,"Common"
"ANWC","O",11,0.0802919708029197,"Common"
"ANWC","Q",22,0.160583941605839,"Common"
"ANWC","R",72,0.525547445255474,"Common"
"ASAF","C",1,0.00862068965517241,"Singleton"
"ASAF","D",1,0.00862068965517241,"Singleton"
"ASAF","E",10,0.0862068965517241,"Common"
"ASAF","F",1,0.00862068965517241,"Singleton"
"ASAF","G",2,0.0172413793103448,"Doubleton"
"ASAF","H",9,0.0775862068965517,"Common"
"ASAF","I",2,0.0172413793103448,"Doubleton"
"ASAF","J",25,0.21551724137931,"Common"
"ASAF","K",1,0.00862068965517241,"Singleton"
"ASAF","L",16,0.137931034482759,"Common"
"ASAF","N",5,0.0431034482758621,"Rare"
"ASAF","O",4,0.0344827586206897,"Rare"
"ASAF","Q",5,0.0431034482758621,"Rare"
"ASAF","R",31,0.267241379310345,"Common"
"ASAF","T",3,0.0258620689655172,"Rare"
"ASEA","C",56,0.370860927152318,"Common"
"ASEA","D",7,0.0463576158940397,"Rare"
"ASEA","F",2,0.0132450331125828,"Doubleton"
"ASEA","K",1,0.00662251655629139,"Singleton"
"ASEA","N",7,0.0463576158940397,"Rare"
"ASEA","O",77,0.509933774834437,"Common"
"ASEA","R",1,0.00662251655629139,"Singleton"
"Han_NWCM","C",1238,0.113546730257727,"Common"
"Han_NWCM","D",525,0.048151884802348,"Rare"
"Han_NWCM","E",33,0.00302668990186187,"Very rare"
"Han_NWCM","F",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","G",20,0.00183435751627992,"Very rare"
"Han_NWCM","H",4,0.000366871503255985,"Very rare"
"Han_NWCM","I",5,0.000458589379069981,"Very rare"
"Han_NWCM","J",147,0.0134825277446574,"Rare"
"Han_NWCM","L",18,0.00165092176465193,"Very rare"
"Han_NWCM","N",845,0.0775016050628267,"Common"
"Han_NWCM","O",7217,0.66192790974961,"Common"
"Han_NWCM","Q",482,0.0442080161423461,"Rare"
"Han_NWCM","R",364,0.0333853067962946,"Rare"
"Han_NWCM","T",4,0.000366871503255985,"Very rare"
"Han_noNWC","C",480,0.100523560209424,"Common"
"Han_noNWC","D",63,0.0131937172774869,"Rare"
"Han_noNWC","E",4,0.000837696335078534,"Very rare"
"Han_noNWC","F",4,0.000837696335078534,"Very rare"
"Han_noNWC","G",11,0.00230366492146597,"Very rare"
"Han_noNWC","H",1,0.000209424083769634,"Singleton"
"Han_noNWC","I",2,0.000418848167539267,"Doubleton"
"Han_noNWC","J",20,0.00418848167539267,"Very rare"
"Han_noNWC","L",1,0.000209424083769634,"Singleton"
"Han_noNWC","N",297,0.0621989528795812,"Common"
"Han_noNWC","O",3692,0.773193717277487,"Common"
"Han_noNWC","Q",132,0.0276439790575916,"Rare"
"Han_noNWC","R",57,0.0119371727748691,"Rare"
"Han_noNWC","T",11,0.00230366492146597,"Very rare"
