"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"HG02808"	"L2a1c"	"1"	"0.9519"	"1-16569"
"HG00513"	"R11b1a"	"1"	"0.8830"	"1-16569"
"NA19462"	"L1b1a15"	"1"	"0.9837"	"1-16569"
"HG03698"	"N1a2"	"1"	"0.9485"	"1-16569"
"HG01119"	"A2w"	"1"	"0.9787"	"1-16569"
"HG03817"	"U2c1a"	"1"	"0.8442"	"1-16569"
"HG01871"	"M7b1a1b"	"1"	"0.9577"	"1-16569"
"NA12282"	"J1b1a1a"	"1"	"0.9833"	"1-16569"
"NA20530"	"K1a4c1"	"1"	"0.9306"	"1-16569"
"NA19747"	"D1i1"	"1"	"0.9687"	"1-16569"
"HG00599"	"B4a1c4"	"1"	"0.9728"	"1-16569"
"HG00178"	"H13a1a1d1"	"1"	"1.0000"	"1-16569"
"NA12874"	"J1c8a"	"1"	"0.9204"	"1-16569"
"HG01630"	"H7"	"1"	"0.9012"	"1-16569"
"HG00629"	"D4g2a1"	"1"	"0.9064"	"1-16569"
"NA21097"	"U1a1c1d"	"1"	"0.9813"	"1-16569"
"NA19210"	"L1b1a3"	"1"	"0.9922"	"1-16569"
"HG03611"	"M68"	"1"	"0.7109"	"1-16569"
"HG04001"	"M18a"	"1"	"0.9762"	"1-16569"
"HG03432"	"L2a1i"	"1"	"0.9841"	"1-16569"
"HG02775"	"U7b"	"1"	"0.9033"	"1-16569"
"NA19225"	"L2a1n"	"1"	"0.9537"	"1-16569"
"HG02275"	"C1b"	"1"	"0.9460"	"1-16569"
"NA19712"	"L1c2b1c"	"1"	"0.9584"	"1-16569"
"NA12815"	"H27"	"1"	"0.9295"	"1-16569"
"NA20870"	"H7b"	"1"	"0.9009"	"1-16569"
"HG01866"	"B4b1c1"	"1"	"1.0000"	"1-16569"
"HG01631"	"H1q"	"1"	"0.6981"	"1-16569"
"NA19780"	"B2s"	"1"	"0.9865"	"1-16569"
"NA18561"	"F1d"	"1"	"0.9117"	"1-16569"
"HG00365"	"H1c"	"1"	"1.0000"	"1-16569"
"HG03461"	"L2a1i"	"1"	"0.9392"	"1-16569"
"NA20827"	"U5a1g"	"1"	"0.9427"	"1-16569"
"HG02508"	"L2a1c4a1"	"1"	"0.9377"	"1-16569"
"HG03520"	"L3e1"	"1"	"0.9397"	"1-16569"
"NA18648"	"D4a"	"1"	"0.9123"	"1-16569"
"HG01284"	"A2w"	"1"	"0.9547"	"1-16569"
"HG00140"	"H4a1a4b"	"1"	"0.9525"	"1-16569"
"HG01597"	"F6"	"1"	"0.8807"	"1-16569"
"HG03352"	"L3e2b1a1"	"1"	"0.9932"	"1-16569"
"HG00356"	"T2b4_T152C"	"1"	"0.9681"	"1-16569"
"NA20797"	"V2"	"1"	"0.9582"	"1-16569"
"HG03160"	"L3e2b8"	"1"	"0.9659"	"1-16569"
"HG04026"	"W3a1b"	"1"	"0.9456"	"1-16569"
"HG03771"	"M40a1"	"1"	"0.9374"	"1-16569"
"HG04006"	"M5a6"	"1"	"0.9617"	"1-16569"
"NA19315"	"L3e3b1"	"1"	"0.9788"	"1-16569"
"HG01372"	"A2q2"	"1"	"0.9818"	"1-16569"
"HG02008"	"D1"	"1"	"0.9693"	"1-16569"
"HG01844"	"D4a7"	"1"	"0.9724"	"1-16569"
